Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
2,12.4,L,,,subject Id,AO078,,1.8,122.6,L,,,subject Id,AO078,,2,20.3,L,,,subject Id,AO078,,2,2,L,,,subject Id,AO078,,2,14.4,L,,,subject Id,AO078,,2,38.6,L,,,subject Id,AO078,,2,9.8,M,,,subject Id,AO078,,3.3,26.8,L,,,subject Id,AO078,,5.2,33.3,M,,,subject Id,AO078,,2,13.7,M,,,subject Id,AO078,,2,3.9,L,,,subject Id,AO078,,2,16.3,M,,,subject Id,AO078,,2.2,24.3,L,,,subject Id,AO078,,2.6,94.2,L,,,subject Id,AO078,,5.2,96.9,M,,,subject Id,AO078,,2,2.6,M,,,subject Id,AO078,,2,12.4,L,,,subject Id,AO078,,2.6,22.1,L,,,subject Id,AO078,,2,57.5,L,,,subject Id,AO078,,3.5,39.1,L,,,subject Id,AO078,,4.6,30.7,L,,,subject Id,AO078,,2,7.2,L,,,subject Id,AO078,,2,7.8,L,,,subject Id,AO078,,2,46.9,L,,,subject Id,AO078,,2.6,37.3,M,,,subject Id,AO078,,3.5,168.5,L,,,subject Id,AO078,,5.2,238,M,,,subject Id,AO078
2,43.1,M,,,Age (years),44,,2,5.2,L,,,Age (years),44,,2,49.7,M,,,Age (years),44,,2,31.4,L,,,Age (years),44,,2,49.7,M,,,Age (years),44,,2,68.6,L,,,Age (years),44,,2,31.4,M,,,Age (years),44,,3.3,96.8,M,,,Age (years),44,,5.2,54.3,M,,,Age (years),44,,2,22.1,M,,,Age (years),44,,2,17.6,L,,,Age (years),44,,2,27.4,S,,,Age (years),44,,2.2,49.9,M,,,Age (years),44,,2.6,192.8,M,,,Age (years),44,,5.2,214.1,S,,,Age (years),44,,2,23.5,M,,,Age (years),44,,2,52.1,S,,,Age (years),44,,3.3,41.7,L,,,Age (years),44,,2,65.4,L,,,Age (years),44,,3.5,53,M,,,Age (years),44,,4.6,72.6,L,,,Age (years),44,,2,22.1,L,,,Age (years),44,,2,43,L,,,Age (years),44,,2,52.1,S,,,Age (years),44,,2.6,59.5,L,,,Age (years),44,,3.5,201.5,M,,,Age (years),44,,5.9,100.7,L,,,Age (years),44
2,49,L,,,Eye,OD,,2,15,L,,,Eye,OD,,2,68.6,L,,,Eye,OD,,2,39.2,S,,,Eye,OD,,2,57.5,L,,,Eye,OD,,2,81.7,L,,,Eye,OD,,2,39.2,L,,,Eye,OD,,3.3,176.5,L,,,Eye,OD,,5.2,154.3,M,,,Eye,OD,,2,25.4,L,,,Eye,OD,,2,37.1,L,,,Eye,OD,,2,30.6,M,,,Eye,OD,,2.2,103.4,L,,,Eye,OD,,2.6,198.5,L,,,Eye,OD,,5.6,81.2,L,,,Eye,OD,,2,56,M,,,Eye,OD,,2.6,33.9,L,,,Eye,OD,,3.3,61.2,L,,,Eye,OD,,2,100.7,M,,,Eye,OD,,3.5,130.7,L,,,Eye,OD,,5.2,221.6,S,,,Eye,OD,,2,24.8,L,,,Eye,OD,,2,59.3,L,,,Eye,OD,,2.6,18.9,M,,,Eye,OD,,2.6,179.1,L,,,Eye,OD,,3.9,25.6,S,,,Eye,OD,,6.5,228.8,L,,,Eye,OD
2,77.1,L,,,Axial length (mm),22.95,,2,69.1,L,,,Axial length (mm),22.95,,2,80.4,M,,,Axial length (mm),22.95,,2,70.6,L,,,Axial length (mm),22.95,,2,78.4,L,,,Axial length (mm),22.95,,2,89.6,M,,,Axial length (mm),22.95,,2,45.1,M,,,Axial length (mm),22.95,,3.3,214.4,L,,,Axial length (mm),22.95,,5.2,219,M,,,Axial length (mm),22.95,,2,28.7,L,,,Axial length (mm),22.95,,2,48.2,M,,,Axial length (mm),22.95,,2,41,L,,,Axial length (mm),22.95,,2.2,115.1,M,,,Axial length (mm),22.95,,2.6,209.8,L,,,Axial length (mm),22.95,,5.6,111.6,L,,,Axial length (mm),22.95,,2.6,8.5,L,,,Axial length (mm),22.95,,2.6,56,M,,,Axial length (mm),22.95,,3.9,3.9,L,,,Axial length (mm),22.95,,2,132.1,M,,,Axial length (mm),22.95,,3.5,148.1,L,,,Axial length (mm),22.95,,5.9,236.7,L,,,Axial length (mm),22.95,,2,34.5,M,,,Axial length (mm),22.95,,2,63.2,L,,,Axial length (mm),22.95,,3.3,5.2,M,,,Axial length (mm),22.95,,2.6,184.4,L,,,Axial length (mm),22.95,,3.9,112.9,L,,,Axial length (mm),22.95,,7.2,173.9,M,,,Axial length (mm),22.95
2,83,M,,,Meridian,Temporal,,2,88.6,L,,,Meridian,Temporal,,2,88.9,M,,,Meridian,Temporal,,2,85.6,S,,,Meridian,Temporal,,2,98.7,M,,,Meridian,Temporal,,2,117.7,M,,,Meridian,Temporal,,2,53.6,L,,,Meridian,Temporal,,3.9,40.5,M,,,Meridian,Temporal,,6.5,123.6,M,,,Meridian,Temporal,,2,37.1,M,,,Meridian,Nasal,,2,66.4,L,,,Meridian,Nasal,,2,45,L,,,Meridian,Nasal,,2.2,132.9,L,,,Meridian,Nasal,,2.6,231.5,M,,,Meridian,Nasal,,6.1,70.8,L,,,Meridian,Nasal,,2.6,38.4,M,,,Meridian,Superior,,3.3,7.8,M,,,Meridian,Superior,,4.6,28.7,M,,,Meridian,Superior,,2,145.1,M,,,Meridian,Superior,,3.5,193.3,M,,,Meridian,Superior,,6.5,92.2,L,,,Meridian,Superior,,2,56,L,,,Meridian,inferior,,2.6,4.6,M,,,Meridian,inferior,,3.3,37.8,M,,,Meridian,inferior,,2.6,188.9,M,,,Meridian,inferior,,3.9,223.7,M,,,Meridian,inferior,,7.8,70,L,,,Meridian,inferior
2,108.5,L,,,"Eccentricity (x,y) (deg)","(0.5,0)",,2,108.8,L,,,"Eccentricity (x,y) (deg)","(0.7,0)",,2,93.5,M,,,"Eccentricity (x,y) (deg)","(0.9,0)",,2,96.1,L,,,"Eccentricity (x,y) (deg)","(1.1,0)",,2,132.1,M,,,"Eccentricity (x,y) (deg)","(1.4,0)",,2,160.2,L,,,"Eccentricity (x,y) (deg)","(1.6,0)",,2,185,L,,,"Eccentricity (x,y) (deg)","(1.9,0)",,3.9,156.9,M,,,"Eccentricity (x,y) (deg)","(5,0)",,6.5,145.8,L,,,"Eccentricity (x,y) (deg)","(10,0)",,2,88.6,L,,,"Eccentricity (x,y) (deg)","(0.6,0)",,2,125.1,L,,,"Eccentricity (x,y) (deg)","(0.8,0)",,2,48.2,L,,,"Eccentricity (x,y) (deg)","(1.1,0)",,2.2,151.1,L,,,"Eccentricity (x,y) (deg)","(1.5,0)",,3,14.8,L,,,"Eccentricity (x,y) (deg)","(5,0)",,6.5,149.4,M,,,"Eccentricity (x,y) (deg)","(10,0)",,2.6,51.5,L,,,"Eccentricity (x,y) (deg)","(0,0.4)",,3.3,20.8,L,,,"Eccentricity (x,y) (deg)","(0,0.7)",,4.6,35.2,M,,,"Eccentricity (x,y) (deg)","(0,0.9)",,2.6,72.6,L,,,"Eccentricity (x,y) (deg)","(0,1.5)",,3.5,218.5,L,,,"Eccentricity (x,y) (deg)","(0,5)",,7.2,106.6,L,,,"Eccentricity (x,y) (deg)","(0,10)",,2.6,4.6,M,,,"Eccentricity (x,y) (deg)","(0,0.5)",,2.6,46.9,L,,,"Eccentricity (x,y) (deg)","(0,0.7)",,3.3,62.5,L,,,"Eccentricity (x,y) (deg)","(0,0.9)",,3.3,43.8,M,,,"Eccentricity (x,y) (deg)","(0,1.5)",,4.3,86.9,L,,,"Eccentricity (x,y) (deg)","(0,5)",,7.8,160.8,L,,,"Eccentricity (x,y) (deg)","(0,10)"
2,111.8,L,,,"Eccentricity (x,y) (mm)","(0.14,0)",,2,117.9,L,,,"Eccentricity (x,y) (mm)","(0.19,0)",,2,117,L,,,"Eccentricity (x,y) (mm)","(0.25,0)",,2,100,L,,,"Eccentricity (x,y) (mm)","(0.3,0)",,2,181.7,M,,,"Eccentricity (x,y) (mm)","(0.38,0)",,2,179.8,M,,,"Eccentricity (x,y) (mm)","(0.44,0)",,2.6,2,M,,,"Eccentricity (x,y) (mm)","(0.52,0)",,3.9,208.5,L,,,"Eccentricity (x,y) (mm)","(1.37,0)",,7.2,90.2,M,,,"Eccentricity (x,y) (mm)","(2.74,0)",,2,99.7,L,,,"Eccentricity (x,y) (mm)","(0.16,0)",,2,130.9,M,,,"Eccentricity (x,y) (mm)","(0.22,0)",,2,79.5,M,,,"Eccentricity (x,y) (mm)","(0.3,0)",,2.2,165,L,,,"Eccentricity (x,y) (mm)","(0.41,0)",,3,38.2,M,,,"Eccentricity (x,y) (mm)","(1.37,0)",,6.5,182.4,L,,,"Eccentricity (x,y) (mm)","(2.74,0)",,3.3,34.5,M,,,"Eccentricity (x,y) (mm)","(0,0.12)",,3.3,26.1,M,,,"Eccentricity (x,y) (mm)","(0,0.19)",,4.6,53.4,M,,,"Eccentricity (x,y) (mm)","(0,0.25)",,2.6,113.1,L,,,"Eccentricity (x,y) (mm)","(0,0.41)",,3.5,242.8,L,,,"Eccentricity (x,y) (mm)","(0,1.37)",,7.8,40.5,L,,,"Eccentricity (x,y) (mm)","(0,2.74)",,2.6,11.7,L,,,"Eccentricity (x,y) (mm)","(0,0.14)",,3.9,13.7,M,,,"Eccentricity (x,y) (mm)","(0,0.19)",,3.9,31.3,L,,,"Eccentricity (x,y) (mm)","(0,0.26)",,3.3,105.9,L,,,"Eccentricity (x,y) (mm)","(0,0.41)",,4.8,49.1,L,,,"Eccentricity (x,y) (mm)","(0,1.37)",,9.8,81.1,M,,,"Eccentricity (x,y) (mm)","(0,2.74)"
2,122.9,M,,,Retinal maginification factor (microns/deg),274.3,,2,187.6,L,,,Retinal maginification factor (microns/deg),274.3,,2,134.7,L,,,Retinal maginification factor (microns/deg),274.3,,2,120.9,M,,,Retinal maginification factor (microns/deg),274.3,,2.6,61.5,L,,,Retinal maginification factor (microns/deg),274.3,,2.6,92.2,S,,,Retinal maginification factor (microns/deg),274.3,,3.3,19,L,,,Retinal maginification factor (microns/deg),274.3,,4.6,20.9,L,,,Retinal maginification factor (microns/deg),274.3,,8.5,226.9,M,,,Retinal maginification factor (microns/deg),274.3,,2,151.8,M,,,Retinal maginification factor (microns/deg),274.3,,2,136.2,L,,,Retinal maginification factor (microns/deg),274.3,,2,91.9,M,,,Retinal maginification factor (microns/deg),274.3,,2.2,189.4,S,,,Retinal maginification factor (microns/deg),274.3,,3.5,7.8,M,,,Retinal maginification factor (microns/deg),274.3,,6.9,56,M,,,Retinal maginification factor (microns/deg),274.3,,3.3,59.3,L,,,Retinal maginification factor (microns/deg),274.3,,3.3,30.6,L,,,Retinal maginification factor (microns/deg),274.3,,5.2,8.5,M,,,Retinal maginification factor (microns/deg),274.3,,2.6,168.7,L,,,Retinal maginification factor (microns/deg),274.3,,3.9,109.4,L,,,Retinal maginification factor (microns/deg),274.3,,7.8,198.7,L,,,Retinal maginification factor (microns/deg),274.3,,2.6,15,L,,,Retinal maginification factor (microns/deg),274.3,,3.9,16.9,L,,,Retinal maginification factor (microns/deg),274.3,,3.9,42.3,L,,,Retinal maginification factor (microns/deg),274.3,,3.3,132.1,L,,,Retinal maginification factor (microns/deg),274.3,,5.2,68.2,L,,,Retinal maginification factor (microns/deg),274.3,,10.5,46.4,L,,,Retinal maginification factor (microns/deg),274.3
2,152.3,L,,,FOV (mm),0.07 x 0.2,,2.3,54.9,L,,,FOV (mm),0.07 x 0.2,,2,153.6,L,,,FOV (mm),0.07 x 0.2,,2,137.9,M,,,FOV (mm),0.07 x 0.2,,2.6,86.3,L,,,FOV (mm),0.07 x 0.2,,2.6,105.9,M,,,FOV (mm),0.07 x 0.2,,3.3,49.7,S,,,FOV (mm),0.07 x 0.2,,4.6,224.9,L,,,FOV (mm),0.32 x 0.25,,9.2,63.4,L,,,FOV (mm),0.32 x 0.25,,2,165.5,M,,,FOV (mm),0.07 x 0.2,,2,149.2,L,,,FOV (mm),0.07 x 0.2,,2,97.7,M,,,FOV (mm),0.07 x 0.2,,2.2,205.4,L,,,FOV (mm),0.24 x 0.25,,3.5,53.4,M,,,FOV (mm),0.24 x 0.25,,8.3,7.4,L,,,FOV (mm),0.24 x 0.24,,3.3,62.5,L,,,FOV (mm),0.2 x 0.07,,3.3,39.1,L,,,FOV (mm),0.2 x 0.07,,5.2,13,S,,,FOV (mm),0.2 x 0.07,,2.6,196.8,M,,,FOV (mm),0.31 x 0.21,,3.9,160.7,S,,,FOV (mm),0.24 x 0.25,,8.5,171.9,L,,,FOV (mm),0.36 x 0.26,,2.6,18.2,L,,,FOV (mm),0.2 x 0.07,,3.9,20.8,L,,,FOV (mm),0.2 x 0.07,,4.6,9.1,L,,,FOV (mm),0.2 x 0.07,,3.3,166.7,M,,,FOV (mm),0.31 x 0.2,,5.6,38.7,L,,,FOV (mm),0.24 x 0.25,,10.5,145.8,L,,,FOV (mm),0.34 x 0.24
2,155.6,M,,,L/M ratio,1.3,,2.6,18.9,M,,,L/M ratio,1.5,,2,164.7,L,,,L/M ratio,1.5,,2,161.5,L,,,L/M ratio,1.5,,2.6,123.6,M,,,L/M ratio,2,,2.6,146.4,M,,,L/M ratio,1.8,,3.3,91.5,M,,,L/M ratio,1.6,,5.2,117.7,L,,,L/M ratio,2.1,,10.5,131.4,L,,,L/M ratio,1.5,,2,168.1,L,,,L/M ratio,1.4,,2,157,L,,,L/M ratio,1.3,,2,104.9,L,,,L/M ratio,1.5,,2.2,232.4,L,,,L/M ratio,1.8,,3.9,165.9,M,,,L/M ratio,1.5,,9.6,23.9,L,,,L/M ratio,1.5,,3.9,16.3,M,,,L/M ratio,1.5,,3.3,63.2,L,,,L/M ratio,1.5,,5.2,18.2,L,,,L/M ratio,1.4,,3.3,12.4,L,,,L/M ratio,1.6,,3.9,170.2,M,,,L/M ratio,1.4,,9.8,6.5,L,,,L/M ratio,1.4,,2.6,52.1,L,,,L/M ratio,1.2,,3.9,25.4,L,,,L/M ratio,1.3,,4.6,22.1,L,,,L/M ratio,1.5,,3.9,4.6,L,,,L/M ratio,1.8,,5.6,121.6,M,,,L/M ratio,1.5,,11.1,28.8,L,,,L/M ratio,1.8
2,177.8,L,,,% S-cones,5.7,,2.6,25.4,L,,,% S-cones,7.2,,2,178.5,M,,,% S-cones,7.7,,2.6,22.2,M,,,% S-cones,6.9,,2.6,128.1,L,,,% S-cones,6.3,,2.6,164.1,L,,,% S-cones,7.8,,3.3,108.5,L,,,% S-cones,8.9,,5.2,149.1,L,,,% S-cones,9.3,,11.8,78.4,S,,,% S-cones,8.5,,2,171.3,L,,,% S-cones,3,,2,160.9,L,,,% S-cones,4.6,,2,111.4,S,,,% S-cones,5.1,,2.6,20.8,L,,,% S-cones,8.5,,3.9,204.1,M,,,% S-cones,9.3,,10.9,168.9,M,,,% S-cones,6.2,,3.9,26.7,M,,,% S-cones,5.3,,3.9,43.6,L,,,% S-cones,6.3,,5.2,47.6,L,,,% S-cones,7.5,,3.3,45.1,L,,,% S-cones,8.6,,4.8,102.5,S,,,% S-cones,9.6,,9.8,115.7,M,,,% S-cones,9.3,,2.6,61.2,L,,,% S-cones,4.4,,3.9,50.8,L,,,% S-cones,4.8,,4.6,27.4,L,,,% S-cones,5.9,,3.9,11.1,L,,,% S-cones,6.4,,5.6,135.1,L,,,% S-cones,7.7,,11.1,214.4,S,,,% S-cones,10.8
2.6,34,M,,,L-cone density (cones per square mm),39790.7,,2.6,42.3,L,,,L-cone density (cones per square mm),34722.5,,2,187,M,,,L-cone density (cones per square mm),28861.7,,2.6,52.3,L,,,L-cone density (cones per square mm),24705.6,,3.3,2.6,M,,,L-cone density (cones per square mm),24551.7,,3.3,18.3,L,,,L-cone density (cones per square mm),20857.4,,3.9,24.2,M,,,L-cone density (cones per square mm),18163.6,,5.2,232.1,S,,,L-cone density (cones per square mm),9513,,11.8,239.9,M,,,L-cone density (cones per square mm),3789.5,,2,187.6,M,,,L-cone density (cones per square mm),43635.7,,2,164.2,L,,,L-cone density (cones per square mm),34800,,2,120.5,M,,,L-cone density (cones per square mm),32087.3,,2.6,53.4,L,,,L-cone density (cones per square mm),22941.6,,4.3,76,M,,,L-cone density (cones per square mm),9798.1,,10.9,231.9,M,,,L-cone density (cones per square mm),4503.1,,3.9,31.3,M,,,L-cone density (cones per square mm),34412.5,,3.9,59.9,L,,,L-cone density (cones per square mm),27127,,5.9,58,S,,,L-cone density (cones per square mm),21469.1,,3.3,164.1,M,,,L-cone density (cones per square mm),15911.2,,5.6,72.1,L,,,L-cone density (cones per square mm),6878.1,,9.8,183.7,L,,,L-cone density (cones per square mm),3811.4,,3.3,29.3,M,,,L-cone density (cones per square mm),41465.5,,5.2,7.2,L,,,L-cone density (cones per square mm),35187.6,,4.6,55.4,L,,,L-cone density (cones per square mm),29529.6,,3.9,28.1,M,,,L-cone density (cones per square mm),18632.5,,6.1,16.9,L,,,L-cone density (cones per square mm),6749.2,,11.8,110.5,M,,,L-cone density (cones per square mm),3626.4
