Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
2,25.7,M,,,subject Id,AO088,,2,3.4,L,,,subject Id,AO088,,2,7.4,L,,,subject Id,AO088,,2,10.1,M,,,subject Id,AO088,,2,6.8,S,,,subject Id,AO088,,2,8.1,L,,,subject Id,AO088,,2.7,27,L,,,subject Id,AO088,,4.1,4.1,L,,,subject Id,AO088
2,32.4,M,,,Age (years),38,,2,6.8,M,,,Age (years),38,,2,18.9,M,,,Age (years),38,,2,52.7,M,,,Age (years),38,,2,14.2,M,,,Age (years),38,,2,14.2,M,,,Age (years),38,,2.7,56,L,,,Age (years),38,,4.1,22.3,M,,,Age (years),38
2,41.9,L,,,Eye,OD,,2,10.8,M,,,Eye,OD,,2,26.3,M,,,Eye,OD,,2,65.5,S,,,Eye,OD,,2,29,M,,,Eye,OD,,2,23.6,M,,,Eye,OD,,2.7,85.8,M,,,Eye,OD,,4.1,119.5,M,,,Eye,OD
2,56,M,,,Axial length (mm),23.6,,2,20.9,L,,,Axial length (mm),23.6,,2,62.1,L,,,Axial length (mm),23.6,,2,100.6,L,,,Axial length (mm),23.6,,2,37.1,M,,,Axial length (mm),23.6,,2,50.6,L,,,Axial length (mm),23.6,,2.7,203.2,M,,,Axial length (mm),23.6,,4.1,166.1,S,,,Axial length (mm),23.6
2,72.2,L,,,Meridian,Temporal,,2,49.3,M,,,Meridian,Temporal,,2,69.5,L,,,Meridian,Temporal,,2,116.8,L,,,Meridian,Temporal,,2,85.8,L,,,Meridian,Temporal,,2,63.5,L,,,Meridian,Temporal,,2.7,208,M,,,Meridian,Temporal,,4.1,189.7,M,,,Meridian,Temporal
2,77.6,L,,,"Eccentricity (x,y) (deg)","(0.6,0)",,2,62.8,L,,,"Eccentricity (x,y) (deg)","(0.8,0)",,2,74.3,M,,,"Eccentricity (x,y) (deg)","(1.1,0)",,2,127.6,NC,,,"Eccentricity (x,y) (deg)","(1.3,0)",,2,125.6,L,,,"Eccentricity (x,y) (deg)","(1.6,0)",,2,81.7,L,,,"Eccentricity (x,y) (deg)","(2,0)",,2.7,240.4,S,,,"Eccentricity (x,y) (deg)","(4,0)",,4.1,264,S,,,"Eccentricity (x,y) (deg)","(10,0)"
2,92.5,M,,,"Eccentricity (x,y) (mm)","(0.16,0)",,2,91.8,L,,,"Eccentricity (x,y) (mm)","(0.23,0)",,2,78.3,M,,,"Eccentricity (x,y) (mm)","(0.31,0)",,2,141.8,M,,,"Eccentricity (x,y) (mm)","(0.38,0)",,2,130.3,M,,,"Eccentricity (x,y) (mm)","(0.45,0)",,2,101.3,L,,,"Eccentricity (x,y) (mm)","(0.57,0)",,3.4,81.7,L,,,"Eccentricity (x,y) (mm)","(1.13,0)",,4.1,287,NC,,,"Eccentricity (x,y) (mm)","(2.83,0)"
2.7,20.3,S,,,Retinal maginification factor (microns/deg),283.3,,2,97.9,L,,,Retinal maginification factor (microns/deg),283.3,,2,85.1,L,,,Retinal maginification factor (microns/deg),283.3,,2,181,L,,,Retinal maginification factor (microns/deg),283.3,,2,134.4,M,,,Retinal maginification factor (microns/deg),283.3,,2,110.1,M,,,Retinal maginification factor (microns/deg),283.3,,3.4,134.4,M,,,Retinal maginification factor (microns/deg),283.3,,5.4,173.5,L,,,Retinal maginification factor (microns/deg),283.3
2.7,29,M,,,FOV (mm),0.07 x 0.24,,2,158,M,,,FOV (mm),0.07 x 0.24,,2,95.2,L,,,FOV (mm),0.07 x 0.24,,2,203.9,M,,,FOV (mm),0.07 x 0.24,,2,139.1,M,,,FOV (mm),0.07 x 0.24,,2,141.8,S,,,FOV (mm),0.29 x 0.22,,3.4,183,L,,,FOV (mm),0.36 x 0.31,,5.4,197.8,M,,,FOV (mm),0.37 x 0.3
2.7,50.6,L,,,L/M ratio,0.4,,2,213.4,M,,,L/M ratio,0.5,,2,106,M,,,L/M ratio,0.5,,2.7,14.2,M,,,L/M ratio,0.6,,2,143.1,L,,,L/M ratio,0.8,,2,198.5,L,,,L/M ratio,0.8,,3.4,270.1,NC,,,L/M ratio,0.8,,5.4,216.1,L,,,L/M ratio,0.7
2.7,65.5,M,,,% S-cones,2.8,,2,229.6,L,,,% S-cones,4.4,,2,140.4,L,,,% S-cones,5.5,,2.7,28.4,L,,,% S-cones,4.5,,2,147.2,L,,,% S-cones,5.5,,2.7,38.5,M,,,% S-cones,5.2,,4.1,22.3,M,,,% S-cones,7.7,,6.1,62.1,M,,,% S-cones,10.2
2.7,80.3,L,,,L-cone density (cones per square mm),19552.2,,2.7,35.1,L,,,L-cone density (cones per square mm),21099.1,,2,177.6,M,,,L-cone density (cones per square mm),17386.6,,2.7,83.7,L,,,L-cone density (cones per square mm),18005.4,,2,193.1,L,,,L-cone density (cones per square mm),19181,,2.7,130.3,M,,,L-cone density (cones per square mm),13501.2,,4.1,41.9,L,,,L-cone density (cones per square mm),9978.3,,6.1,79,L,,,L-cone density (cones per square mm),3921.1
2.7,99.3,M,,,M-cone density (cones per square mm),52345.5,,2.7,52.7,L,,,M-cone density (cones per square mm),41022.5,,2,190.4,M,,,M-cone density (cones per square mm),33783.3,,2.7,134.4,L,,,M-cone density (cones per square mm),29204.6,,2,206.6,L,,,M-cone density (cones per square mm),25306.5,,2.7,193.8,L,,,M-cone density (cones per square mm),16040.5,,4.1,49.3,M,,,M-cone density (cones per square mm),12816.3,,6.1,87.8,L,,,M-cone density (cones per square mm),5343.8
2.7,124.2,M,,,S-cone density (cones per square mm),2041.8,,2.7,59.4,M,,,S-cone density (cones per square mm),2846.2,,2,220.1,M,,,S-cone density (cones per square mm),2970,,2.7,137.7,L,,,S-cone density (cones per square mm),2227.5,,2,222.8,M,,,S-cone density (cones per square mm),2598.7,,3.4,124.2,L,,,S-cone density (cones per square mm),1608.8,,4.1,124.9,L,,,S-cone density (cones per square mm),1910.2,,6.1,109.4,L,,,S-cone density (cones per square mm),1058.1
2.7,163.4,M,,,Number of selected cones,1228,,2.7,77,M,,,Number of selected cones,1068,,2.7,14.2,L,,,Number of selected cones,894,,2.7,164.1,M,,,Number of selected cones,811,,2,232.3,L,,,Number of selected cones,761,,3.4,154.6,M,,,Number of selected cones,1976,,4.1,143.1,M,,,Number of selected cones,2761,,6.1,133.7,M,,,Number of selected cones,1202
2.7,185,M,,,Number of Not classified cones,33,,2.7,81.7,L,,,Number of Not classified cones,18,,2.7,58.1,M,,,Number of Not classified cones,19,,2.7,167.4,M,,,Number of Not classified cones,12,,2.7,54,M,,,Number of Not classified cones,0,,4.1,3.4,L,,,Number of Not classified cones,1,,4.1,166.1,M,,,Number of Not classified cones,45,,6.1,141.1,M,,,Number of Not classified cones,41
2.7,191.8,L,,,L-,Long wavelength cones,,2.7,88.5,M,,,L-,Long wavelength cones,,2.7,66.8,M,,,L-,Long wavelength cones,,2.7,197.8,L,,,L-,Long wavelength cones,,2.7,63.5,L,,,L-,Long wavelength cones,,4.1,118.8,L,,,L-,Long wavelength cones,,4.1,213.4,L,,,L-,Long wavelength cones,,6.8,126.9,L,,,L-,Long wavelength cones
2.7,222.8,NC,,,M-,Middle wavelength cones,,2.7,104,L,,,M-,Middle wavelength cones,,2.7,112.1,M,,,M-,Middle wavelength cones,,2.7,216.1,M,,,M-,Middle wavelength cones,,2.7,121.5,M,,,M-,Middle wavelength cones,,4.1,160,L,,,M-,Middle wavelength cones,,4.1,261.3,L,,,M-,Middle wavelength cones,,6.8,205.9,S,,,M-,Middle wavelength cones
3.4,4.7,M,,,S-,Short wavelength cones,,2.7,124.2,M,,,S-,Short wavelength cones,,2.7,136.4,L,,,S-,Short wavelength cones,,3.4,2,L,,,S-,Short wavelength cones,,3.4,40.5,L,,,S-,Short wavelength cones,,4.1,177.6,M,,,S-,Short wavelength cones,,4.7,35.1,L,,,S-,Short wavelength cones,,6.8,245.8,L,,,S-,Short wavelength cones
3.4,39.2,M,,,NC-,Not classified,,2.7,145.8,L,,,NC-,Not classified,,2.7,144.5,L,,,NC-,Not classified,,3.4,18.2,L,,,NC-,Not classified,,3.4,45.9,M,,,NC-,Not classified,,4.1,207.3,M,,,NC-,Not classified,,4.7,155.3,L,,,NC-,Not classified,,7.4,52.7,M,,,NC-,Not classified
3.4,44.6,L,,,"Cone location origin (0,0)",Top-left corner of FOV,,2.7,151.9,M,,,"Cone location origin (0,0)",Top-left corner of FOV,,2.7,194.5,M,,,"Cone location origin (0,0)",Top-left corner of FOV,,3.4,44.6,L,,,"Cone location origin (0,0)",Top-left corner of FOV,,3.4,50,L,,,"Cone location origin (0,0)",Top-left corner of FOV,,4.1,217.4,L,,,"Cone location origin (0,0)",Top-left corner of FOV,,4.7,253.2,M,,,"Cone location origin (0,0)",Top-left corner of FOV,,7.4,253.9,M,,,"Cone location origin (0,0)",Top-left corner of FOV
3.4,59.4,L,,,Zernike Coeffs Pupil diameter (mm),6,,2.7,164.1,M,,,Zernike Coeffs Pupil diameter (mm),6,,3.4,37.8,S,,,Zernike Coeffs Pupil diameter (mm),6,,3.4,76.3,M,,,Zernike Coeffs Pupil diameter (mm),6,,3.4,68.2,M,,,Zernike Coeffs Pupil diameter (mm),6,,4.7,105.3,L,,,Zernike Coeffs Pupil diameter (mm),6,,4.7,291,S,,,Zernike Coeffs Pupil diameter (mm),6,,8.1,153.9,L,,,Zernike Coeffs Pupil diameter (mm),6
3.4,108,L,,,Zernike Coeffs measured wavelength (nm),900,,2.7,168.1,M,,,Zernike Coeffs measured wavelength (nm),900,,3.4,54.7,M,,,Zernike Coeffs measured wavelength (nm),900,,3.4,90.5,M,,,Zernike Coeffs measured wavelength (nm),900,,3.4,157.3,M,,,Zernike Coeffs measured wavelength (nm),900,,4.7,135,M,,,Zernike Coeffs measured wavelength (nm),900,,5.4,72.2,M,,,Zernike Coeffs measured wavelength (nm),900,,8.1,224.2,M,,,Zernike Coeffs measured wavelength (nm),900
3.4,143.1,M,,,Zernike Coeffs Optimized wavelength (nm),550,,2.7,216.7,M,,,Zernike Coeffs Optimized wavelength (nm),550,,3.4,91.8,M,,,Zernike Coeffs Optimized wavelength (nm),550,,3.4,93.9,M,,,Zernike Coeffs Optimized wavelength (nm),550,,3.4,168.8,L,,,Zernike Coeffs Optimized wavelength (nm),550,,5.4,29,M,,,Zernike Coeffs Optimized wavelength (nm),550,,5.4,91.2,M,,,Zernike Coeffs Optimized wavelength (nm),550,,8.1,270.8,M,,,Zernike Coeffs Optimized wavelength (nm),550
3.4,169.5,M,,,,,,3,113.7,M,,,,,,3.4,102.6,M,,,,,,3.4,123.6,L,,,,,,3.4,172.2,L,,,,,,5.4,77,M,,,,,,5.4,114.1,M,,,,,,8.8,102,M,,,,
3.4,175.6,S,,,,,,3.2,130.5,M,,,,,,3.4,130.3,M,,,,,,3.4,174.2,S,,,,,,3.4,183,L,,,,,,5.4,149.2,L,,,,,,5.4,120.2,M,,,,,,8.8,183.7,M,,,,
3.4,194.5,L,,,,,,3.4,16.2,S,,,,,,3.4,148.5,M,,,,,,3.4,185,S,,,,,,3.4,214,L,,,,,,5.4,172.9,L,,,,,,5.4,189.7,M,,,,,,10.1,29,M,,,,
3.4,206.6,L,,,,,,3.4,69.5,L,,,,,,3.4,159.3,L,,,,,,3.4,193.8,L,,,,,,3.4,218.8,L,,,,,,5.4,188.4,M,,,,,,5.4,298.4,NC,,,,,,10.1,232.9,M,,,,
3.4,232.9,M,,,,,,3.4,120.2,M,,,,,,3.4,163.4,M,,,,,,3.4,211.3,M,,,,,,4.1,58.7,M,,,,,,6.1,13.5,L,,,,,,6.1,15.5,M,,,,,,10.1,280.2,L,,,,
