cone_x_microns,cone_y_microns,cone_spectral_type,subject_id,age,eye,meridian,eccentricity_deg,eccentricity_mm,ret_mag_factor,fov,lm_ratio,scones,lcone_density,mcone_density,scone_density,numcones,nonclass_cones,cone_origin,zernike_pupil_diam,zernike_measure_wave,zernike_optim_wave
1.6,41.1,M,AO001,41,OD,temporal,"(0.4,0)","(0.12,0)",296.2,0.08 x 0.19,2.1,3.3,53057.8,25018.6,2626.6,1229,0,Top-left corner of FOV,6,900,550
1.6,47.3,L,,,,,,,,,,,,,,,,,,,
1.6,53.5,L,,,,,,,,,,,,,,,,,,,
1.6,62.8,M,,,,,,,,,,,,,,,,,,,
1.6,133.3,L,,,,,,,,,,,,,,,,,,,
1.6,169.7,M,,,,,,,,,,,,,,,,,,,
2.3,11.6,L,,,,,,,,,,,,,,,,,,,
2.3,21.7,L,,,,,,,,,,,,,,,,,,,
2.3,99.2,S,,,,,,,,,,,,,,,,,,,
2.3,111.6,M,,,,,,,,,,,,,,,,,,,
2.3,142.6,M,,,,,,,,,,,,,,,,,,,
2.3,151.9,L,,,,,,,,,,,,,,,,,,,
2.3,165.9,M,,,,,,,,,,,,,,,,,,,
2.8,187.7,L,,,,,,,,,,,,,,,,,,,
2.9,73.2,M,,,,,,,,,,,,,,,,,,,
3.1,3.9,L,,,,,,,,,,,,,,,,,,,
3.1,31.8,L,,,,,,,,,,,,,,,,,,,
3.1,59.7,M,,,,,,,,,,,,,,,,,,,
3.1,65.9,L,,,,,,,,,,,,,,,,,,,
3.1,76,M,,,,,,,,,,,,,,,,,,,
3.1,115.5,L,,,,,,,,,,,,,,,,,,,
3.1,118.6,L,,,,,,,,,,,,,,,,,,,
3.1,136.4,M,,,,,,,,,,,,,,,,,,,
3.1,145.7,M,,,,,,,,,,,,,,,,,,,
3.1,162,M,,,,,,,,,,,,,,,,,,,
3.1,183.7,L,,,,,,,,,,,,,,,,,,,
3.1,191.4,L,,,,,,,,,,,,,,,,,,,
3.7,122.1,L,,,,,,,,,,,,,,,,,,,
3.9,7.8,L,,,,,,,,,,,,,,,,,,,
3.9,17.8,S,,,,,,,,,,,,,,,,,,,
3.9,38,L,,,,,,,,,,,,,,,,,,,
3.9,44.2,L,,,,,,,,,,,,,,,,,,,
3.9,50.4,L,,,,,,,,,,,,,,,,,,,
3.9,81.1,L,,,,,,,,,,,,,,,,,,,
3.9,96.9,M,,,,,,,,,,,,,,,,,,,
3.9,108.5,L,,,,,,,,,,,,,,,,,,,
3.9,126.3,L,,,,,,,,,,,,,,,,,,,
3.9,130.2,L,,,,,,,,,,,,,,,,,,,
3.9,172.1,M,,,,,,,,,,,,,,,,,,,
3.9,175.9,M,,,,,,,,,,,,,,,,,,,
3.9,179.5,L,,,,,,,,,,,,,,,,,,,
4.3,149.1,M,,,,,,,,,,,,,,,,,,,
4.7,14,L,,,,,,,,,,,,,,,,,,,
